loss,accuracy,f1_score,val_loss,val_accuracy,val_f1_score
0.2075924128293991,0.939821183681488,[0.9689198  0.05608302],0.22247838973999023,0.9377309083938599,[0.96786493 0.        ]
0.1978664994239807,0.9412206411361694,[0.96958137 0.13113463],0.2157226949930191,0.941474437713623,[0.96968216 0.15913646]
0.16962017118930817,0.9473381638526917,[0.97260576 0.32163087],0.21368397772312164,0.9410237073898315,[0.9694591  0.14453405]
0.15903130173683167,0.9481310844421387,[0.97296625 0.36223444],0.21050851047039032,0.9410558938980103,[0.969494   0.13046232]
0.15563546121120453,0.9488480687141418,[0.973333   0.37488163],0.2091774046421051,0.9414358139038086,[0.96967196 0.15093517]
0.15603552758693695,0.9491580128669739,[0.9734883  0.38208356],0.20246076583862305,0.9377309083938599,[0.96786493 0.        ]
0.15322841703891754,0.9494240283966064,[0.97362274 0.38765258],0.20930899679660797,0.9408755898475647,[0.9694214  0.11062319]
0.1521027386188507,0.9500393271446228,[0.97393787 0.39814785],0.20724765956401825,0.9417577981948853,[0.9698375  0.15660067]
0.1517828106880188,0.950230598449707,[0.97404563 0.39622116],0.2040184587240219,0.941787838935852,[0.96984965 0.15964799]
0.14959362149238586,0.9503764510154724,[0.9740934 0.4128992],0.2041659951210022,0.9420111179351807,[0.9699534  0.17200479]
